IGN,Discord,Clan,Role,S-highest,S-clanrank,AT-highest,AT-clanrank,Donations,LastUpdate,LastUpdateBy,Created by,New Clan,SHighAverage,SH-rank,SHigh1,Total-rank,Discord status
Aldad,Aldad#7717,TT,Member,3514,7,3514,7,1005,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,7,
caKe,caKe#4233,TT,Member,3513,8,3513,8,840,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,8,
Cultista,Cultista#0915,TT2,Elder,3111,28,3247,24,1098,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,24,
Davas,Dr.Dav#9203,TT,Member,3563,3,3563,3,1014,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,3,
Eskil,EskilTheWhite#9251,TT,Elder,3438,12,3438,12,423,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,12,
fim,caKe#4233,TT,Member,3220,24,3287,23,311,"Jul 26, 2020 2:30 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,23,
Fugs,Fugs#1515,TT,Member,3592,2,3592,2,320,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,2,
Idranium,Idranium#6782,TT,Elder,3490,9,3490,9,678,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,9,
Jepsur,Jepsur#0297,TT,Elder,3403,16,3403,16,943,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,16,
KiWi,KiWi#0774,TT,Member,3427,13,3427,13,913,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,13,
PoH,PoH#6237,TT2,Member,2986,32,3207,27,720,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,27,
QoO,QoO#8879,TT,Leader,3553,4,3553,4,593,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,4,
Ralen,Ralen#4504,TT,Elder,3611,1,3611,1,1077,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,1,
Selas,Selas#9522,TT,Member,3358,20,3358,20,1027,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,20,
Sneida,Sneida#2313,TT,Elder,3350,21,3350,21,940,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,21,
Storing,XitraQ#4396,TT,Co-Leader,3552,5,3552,5,1013,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,5,
T31M,T31M#2043,TT,Member,3337,22,3337,22,421,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,22,
Timmetjekappa,timmetjekappa#9259,TT,Elder,3410,15,3410,15,799,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,15,
Virus,Virus#4201,TT,Member,3446,11,3446,11,875,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,11,
Vrienna,Dredpenguin#5822,TT2,Member,3163,26,3199,28,656,"Aug 5, 2020 11:51 AM",Storing XitraQ,Jasper in 't Veld,,0,,,28,
Asirea,Lomi#2426,TT,Member,3531,6,3531,6,1005,"Aug 5, 2020 11:50 AM",Storing XitraQ,Jasper in 't Veld,,0,,,6,
Axar,Axar#7519,TT2,Member,3397,17,3397,17,979,"Jul 26, 2020 2:29 PM",Jasper in 't Veld,Jasper in 't Veld,,0,,,17,
